AFF_LOVE_POINT	Liebespunkte: %d%%
SHOP_NOT_ENOUGH_MONEY	Du hast nicht genug Yang	
SHOP_NOT_ENOUGH_MONEY_EX	Du hast nicht genug Yang.	
SHOP_SEARCH_TITLE	Gegenstandssuche	
SHOP_SELL_INFO	Wähle den Gegenstand, den du in deinem Inventarfenster verkaufen willst.	
SHOP_SOLDOUT	Ausverkauft	
SHOT_ERROR_UNKNOWN	Unbekannter Fehler beim Fernangriff: %s	
SKILL_BLEEDING	Blutung
SKILL_BOHO	Reflektieren
SKILL_CHEONGEUN	Starker Körper
SKILL_EUNHYEONG	Tarnung
SKILL_FIRE	Dauerfeuer
SKILL_FISHMIND	Fischmurmel ist aktiv
SKILL_GEOMGYEONG	Aura des Schwertes
SKILL_GICHEON	Hilfe des Drachen
SKILL_GONGPO	Furcht
SKILL_GRADE_NAME_GRAND_MASTER	%s Grossmeister
SKILL_GRADE_NAME_NAME_MASTER	%s Meister
SKILL_GRADE_NAME_PERFECT_MASTER	%s Perfekter Meister
SKILL_GROUP_ASSASSIN_1	Klinge
SKILL_GROUP_ASSASSIN_2	Bogen
SKILL_GROUP_HORSE	Reiten
SKILL_GROUP_SHAMAN_1	Drache
SKILL_GROUP_SHAMAN_2	Heilung
SKILL_GROUP_SURA_1	Waffenkunde
SKILL_GROUP_SURA_2	Magie
SKILL_GROUP_WARRIOR_1	Körper
SKILL_GROUP_WARRIOR_2	Mental
SKILL_GWIGEOM	Verzauberte Klinge
SKILL_GYEONGGONG	Federlauf
SKILL_HEUKSIN	Dunkler Schutz
SKILL_HOSIN	Segen
SKILL_INC_ATKSPD	Angriffsgeschwindigkeit erhöht
SKILL_INC_MOVSPD	Erhöhtes Bewegungstempo
SKILL_JEONGWI	Berserker
SKILL_JEUNGRYEOK	Angriff +
SKILL_JUMAGAP	Verzauberte Rüstung
SKILL_KWAESOK	Geschwindigkeit
SKILL_MUYEONG	Geist der Flamme
SKILL_NEED_EMPTY_BOTTLE	Ich habe keine leere Flasche.
SKILL_NEED_POISON_BOTTLE	Ich habe keine Giftflasche
SKILL_ONLY_FOR_GUILD_WAR	Du kannst diesen Skill nur während eines Gildenkriegs benutzen.
SKILL_PABEOP	Zauber neutralisieren
SKILL_POWERFUL_STRIKE	Betäubungsangriff
SKILL_SLOW	Verlangsamen
SKILL_STUN	Benommenheit
SKILL_SUMMON_DESCRIPTION	Chance der Beschwörung: %d%%
SKILL_TOOLTIP_INT	Intelligenz
SKILL_TOOLTIP_LEVEL	Stufe
SKILL_TOXICDIE	Vergiftung
SNOWDUNGEON	Nemere Wachturm	
SPIDERBARONESA	Spinnenkönigin	
STAT_MINUS_CON	Vitalitätsanpassung (verbleibend: %d)
STAT_MINUS_DEX	Beweglichkeitsanpassung (verbleibend: %d)
STAT_MINUS_INT	Intelligenz-Anpassung (verbleibend: %d)
STAT_MINUS_STR	Stärkeanpassung (verbleibend: %d)
STAT_TOOLTIP_ATT	Angriffswert
STAT_TOOLTIP_ATT_SPEED	Angriffsgeschwindigkeit
STAT_TOOLTIP_BASE_LEVEL	Stufe
STAT_TOOLTIP_CAST_SPEED	Zaubergeschwindigkeit
STAT_TOOLTIP_CON	Erhöht TP und Verteidigung
STAT_TOOLTIP_CONQUEROR_LEVEL	Meisterstufe
STAT_TOOLTIP_DEF	Verteidigung
STAT_TOOLTIP_DEX	Erhöht Angriff und Ausweichen
STAT_TOOLTIP_IMG_CON	VIT: Erhöht TP und Verteidigung
STAT_TOOLTIP_IMG_DEX	DEX: Erhöht Angriff und Ausweichen
STAT_TOOLTIP_IMG_INT	INT: Erhöht MP, magischen Angriff und Verteidigung
STAT_TOOLTIP_IMG_STR	STR: Erhöht Angriffswert und Schaden
STAT_TOOLTIP_INT	Erhöht MP, magischen Angriff und Verteidigung
STAT_TOOLTIP_MAG_ATT	Magischer Angriffswert
STAT_TOOLTIP_MAG_DEF	Magische Verteidigung
STAT_TOOLTIP_MOVE_SPEED	Bewegungsgeschwindigkeit
STAT_TOOLTIP_STR	Erhöht Angriffswert und Schaden
STAT_TOOLTIP_SUNGMA_HP	TP variieren je nach dem Willen von Sungma (vit) des Gegners und der Karte.	
STAT_TOOLTIP_SUNGMA_IMMUNE	Die Veranlagung zu Vertragseffekten variiert je nach dem Willen von Sungma (INT) des Gegners und der Karte.	
STAT_TOOLTIP_SUNGMA_MOVE	Die Geschwindigkeit der Bewegung variiert je nach dem Willen von Sungma (Res) des Gegners und der Karte.	
STAT_TOOLTIP_SUNGMA_STR	Der Angriff variiert je nach dem Willen von Sungma (STR) des Gegners und der Karte.	
SWITCHBOT_1	Aktiv	
SWITCHBOT_10	Registerkarte schliessen	
SWITCHBOT_12	Dieser Slot wurde bereits verwendet!	
SWITCHBOT_13	Artikel hinzugefügt!	
SWITCHBOT_14	Bedingung	
SWITCHBOT_15	Maximieren	
SWITCHBOT_16	Minimieren	
SWITCHBOT_17	Ziehe das Item(s) hierher	
SWITCHBOT_2	ändern	
SWITCHBOT_3	Haben	
SWITCHBOT_4	Aktivieren	
SWITCHBOT_5	Beendet	
SWITCHBOT_7	ändern beginnen	
SWITCHBOT_8	Keine	
SWITCHBOT_9	Du kannst den Bonus dieses Item(s)s nicht ändern	
SWITCHBOT_CLEAR_ATTR	Entfernen	
SWITCHBOT_CLEAR_CONFIGURATION	Entfernen	
SWITCHBOT_CONFIGURATION_TITLE	Gespeicherter Bonus	
SWITCHBOT_EMPTY_ATTR	Bonus auswählen	
SWITCHBOT_LOAD_CONFIGURATION	Verwenden	
SWITCHBOT_SAVE	Speichern	
SWITCHBOT_SAVE_BUTTON	Liste speichern	
SWITCHBOT_SELECT_ATTR	Boni auswählen	
SWITCHBOT_START	Starten	
SWITCHBOT_STOP	Anhalten	
SWITCHBOT_TITLE	[F9] Switchbot	
SYSTEM_DUNGEON_BUTTON	[F5] Dungeon-Info	
SYSTEM_OPTION_CPU_TILING_1	Der Modus ohne überlagerung der CPU kann die Geschwindigkeit eines schwächeren PCs verbessern.	
SYSTEM_OPTION_CPU_TILING_2	Wenn es Probleme mit der Grafik gibt, wähle 'Systemoption' oder 'config.exe '.	
SYSTEM_OPTION_CPU_TILING_3	und ändere den GPU-Modus ohne überlappung.	
SYSTEM_OPTION_GPU_TILING_1	Der GPU-Modus ohne überlappungen kann auf einem schwachen PC langsam sein.	
SYSTEM_OPTION_GPU_TILING_2	Wenn du Probleme mit der Grafik hast, wähle 'Systemoptionen' oder 'config.exe'.	
SYSTEM_OPTION_GPU_TILING_3	und ändere den GPU-Modus ohne überlappung	
SYSTEM_WHISPER	[System]	
TARGET_BUTTON_ACCEPT_FIGHT	Zustimmen
TARGET_BUTTON_AVENGE	Rache
TARGET_BUTTON_BUILDING_DESTROY	Zerstören
TARGET_BUTTON_DISMOUNT	Absteigen
TARGET_BUTTON_EMOTION_ALLOW	Emotionen
TARGET_BUTTON_EXCHANGE	Handeln
TARGET_BUTTON_EXCLUDE	Ausschliessen
TARGET_BUTTON_EXIT_OBSERVER	Beobachtermodus beenden
TARGET_BUTTON_FIGHT	Zweikampf
TARGET_BUTTON_FRIEND	Freund
TARGET_BUTTON_INVITE_GUILD	Gildeneinladung
TARGET_BUTTON_INVITE_PARTY	Gruppeneinladung
TARGET_BUTTON_LEAVE_PARTY	Gruppe verlassen
TARGET_BUTTON_REQUEST_ENTER_PARTY	Gruppe beitreten
TARGET_BUTTON_VIEW_EQUIPMENT	Ausrüstung
TARGET_BUTTON_WHISPER	Flüstern
TARGET_INFO_DAMAGE	Schaden: %s - %s	
TARGET_INFO_EXP	Erfahrung: %s	
TARGET_INFO_GOLD_MIN_MAX	Yang: %s ~ %s	
TARGET_INFO_MAINRACE	Rasse: %s	
TARGET_INFO_MAX_HP	Max. TP: %s	
TARGET_INFO_NEWRACE_DESERT	Wüste	
TARGET_INFO_NEWRACE_FIRE	Feuer	
TARGET_INFO_NEWRACE_ICE	Eis	
TARGET_INFO_NEWRACE_INSECT	Insekt	
TARGET_INFO_NEWRACE_TREE	Baum	
TARGET_INFO_NO_ITEM_TEXT	Ohne Tropfen	
TARGET_INFO_NO_RACE	Keine Rasse	
TARGET_INFO_RACE_ANIMAL	Tiere	
TARGET_INFO_RACE_DARK	Dunkelheit	
TARGET_INFO_RACE_DEVIL	Dämonen	
TARGET_INFO_RACE_EARTH	Land	
TARGET_INFO_RACE_ELEC	Blitzlichtgewitter	
TARGET_INFO_RACE_FIRE	Feuer	
TARGET_INFO_RACE_HUMAN	Menschenhälfte	
TARGET_INFO_RACE_ICE	Eis	
TARGET_INFO_RACE_METIN	Metin Stein	
TARGET_INFO_RACE_MILGYO	Mystiker	
TARGET_INFO_RACE_ORC	Orks	
TARGET_INFO_RACE_UNDEAD	Keine toten Menschen	
TARGET_INFO_RACE_WIND	Wind	
TARGET_INFO_RACE_ZODIAC	Tierkreiszeichen
TARGET_INFO_REGEN_INFO	Regen: %d%% Alle %d Sek.	
TARGET_INFO_RESISTS	Resistenzen:	
TARGET_INFO_RESISTS_LINE0	Schwert: %d%% zwei Hände: %d%% Campana: %d%%	
TARGET_INFO_RESISTS_LINE1	Daga: %d%% Fächer: %d%% Bogen: %d%%	
TARGET_INFO_STONE_NAME	Geisterstein	
TARGET_INFO_SUBRACE	Unterklasse: %s	
TARGET_LEVEL_BOSS	Boss
TARGET_LEVEL_KING	Level 5.
TARGET_LEVEL_KNIGHT	Stufe 3.
TARGET_LEVEL_PAWN	Stufe 1.
TARGET_LEVEL_S_KNIGHT	Level 4.
TARGET_LEVEL_S_PAWN	Stufe 2.
TASKBAR_ATTACK	Angriff
TASKBAR_AUTO	Automatisch angreifen
TASKBAR_CAMERA	Kamera
TASKBAR_EXP	Erfahrung
TASKBAR_HP	TP
TASKBAR_MOVE	Bewegung
TASKBAR_SKILL	Beweglichkeit
TASKBAR_SP	MP
TASKBAR_ST	ST
THING_COUNT	alles	
TICKET_ADD_ACCEPT	Annehmen	
TICKET_ADD_MEMBER	Neues Mitglied hinzufügen	
TICKET_ADD_NAME	Name:	
TICKET_ADD_TITLE	Mitglied hinzufügen	
TICKET_ADMINISTRATION	Verwalten	
TICKET_ANSWER	Antwort	
TICKET_CATEGORY	Kategorie	
TICKET_CATEGORY_0	Jeder	
TICKET_CHANGE_PERMISIONS	Berechtigungen modifizieren	
TICKET_CREATE_NEW	Neues Ticket erstellen	
TICKET_DATE	Datum	
TICKET_DELETE	Mitglied löschen	
TICKET_ID	Kennung	
TICKET_MY_TICKETS	Meine Tickets	
TICKET_NAME	Name	
TICKET_PRIORITY	Priorität	
TICKET_PRIORITY_HIGH	hoch	
TICKET_PRIORITY_LOW	Niedrig	
TICKET_PRIORITY_MEDIUM	Halb	
TICKET_SEARCH	Suche nach ID:	
TICKET_SEARCH_BUTTON	Suchen	
TICKET_SEND	Senden	
TICKET_SORT_BY	Sortieren nach:	
TICKET_STATE	Bedingung	
TICKET_STATE_CLOSED	Geschlossen	
TICKET_STATE_ON_HOLD	In Bearbeitung	
TICKET_STATE_SOLVED	Gelöst	
TICKET_TITLE	Ticket-System	
TICKET_TITLE_T	Qualifizierung	
TITLE_DUNGEON_INFO	V2 Dungeon-Panel	
TITLE_DUNGEON_INFO_COOLDOWN	Kaltgestellt: %s	
TITLE_DUNGEON_INFO_DAMAGE_DONE	Angerichteter Schaden: %d	
TITLE_DUNGEON_INFO_DAMAGE_RECEIVED	Erhaltener Schaden: %d	
TITLE_DUNGEON_INFO_DEFENSE	Verteidigung: %s	
TITLE_DUNGEON_INFO_GROUP_LIMIT	Gruppenlimit: %d - %d	
TITLE_DUNGEON_INFO_ITEM	Benötigtes Item(s)	
TITLE_DUNGEON_INFO_LEVEL	Limit lvl: %d - %d	
TITLE_DUNGEON_INFO_LOCATION	Ort: %s	
TITLE_DUNGEON_INFO_MAXIMUM_DAMAGE	Maximaler Schaden	
TITLE_DUNGEON_INFO_MAXIMUM_DEATHS	Maximale Todesfälle	
TITLE_DUNGEON_INFO_RECORD_TIME	Rekord: %s	
TITLE_DUNGEON_INFO_STRENGTH	Stärke: %s	
TITLE_DUNGEON_INFO_TIME_DONE_RANKING	Durchgeführte Zeit	
TITLE_DUNGEON_INFO_TIME_LIMIT	Grenzzeit: %s	
TITLE_DUNGEON_INFO_TIME_PERFORMED	Ausgeführte Zeiten: %d	
TOOLTIP_AFFECT_CRISTALES_1	Verteidigungskristall	SNA
TOOLTIP_AFFECT_CRISTALES_2	Angriffskristall	SNA
TOOLTIP_AFFECT_CRISTALES_3	Chaos-Kristall	SNA
TOOLTIP_AFFECT_CRISTALES_4	Widerstandskristall	SNA
TOOLTIP_AFFECT_CRISTALES_5	Reinheitskristall	SNA
TOOLTIP_AFFECT_POTION_1	Roter Tau	SNA
TOOLTIP_AFFECT_POTION_2	Oranger Tau	SNA
TOOLTIP_AFFECT_POTION_3	Gelber Tau	SNA
TOOLTIP_AFFECT_POTION_4	Grüner Tau	SNA
TOOLTIP_AFFECT_POTION_5	Blauer Tau	SNA
TOOLTIP_AFFECT_POTION_6	Weisser Tau	SNA
TOOLTIP_AFFECT_SUNGMA_DESC	Der Wille von Sung Mahi umhüllt diesen Ort.	
TOOLTIP_AFFECT_SUNGMA_HP	WILLE VON SUNGMA (VIT): %d	
TOOLTIP_AFFECT_SUNGMA_IMMUNE	WILLE VON SUNGMA (INT): %d	
TOOLTIP_AFFECT_SUNGMA_MOVE	WILLE VON SUNGMA (RES): %d	
TOOLTIP_AFFECT_SUNGMA_STR	WILLEN VON SUNGMA (STR): %d	
TOOLTIP_ANTI_CRITICAL_PCT	Resistenz gegen kritische Treffer +%d%%	SA
TOOLTIP_ANTI_PENETRATE_PCT	Widerstand gegen durchbohrende Treffer +%d%%	SA
TOOLTIP_ANTI_SELL	Kann nicht im Shop verkauft werden.
TOOLTIP_APPLY_ATTBONUS_ANIMAL	Stark gegen Tiere +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ASSASSIN	Stark gegen Ninjas +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_BELL	Bruch von Glockenverteidigung +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_BOW	Bruch von Pfeilverteidigung +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_CLAW	Bruch von Krallenverteidigung +%d %%	SA
TOOLTIP_APPLY_ATTBONUS_DAGGER	Bruch von Dolchverteidigung +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DARK	Kraft der Dunkelheit +%d %%	SA
TOOLTIP_APPLY_ATTBONUS_DESERT	Stark gegen Wüstenmonster +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DEVIL	Stark gegen Teufel +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_EARTH	Kraft der Erde +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ELEC	Kraft der Blitze +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_FAN	Bruch von Fächerverteidigung +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_FIRE	Kraft des Feuers +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_HUMAN	Stark gegen Halbmenschen +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ICE	Kraft des Eises +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_INSECT	Stark gegen Insekten +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MILGYO	Stark gegen Mystiker +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MONSTER	Stark gegen Monster +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ORC	Stark gegen Orks +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SHAMAN	Stark gegen Schamanen +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SURA	Stark gegen Sura +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SWORD	Schwertverteidigungsbruch +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_TWOHAND	Bruch von Zweihandverteidigung +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_UNDEAD	Stark gegen Untote +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_WARRIOR	Stark gegen Krieger +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_WIND	Kraft des Windest +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_WOLFMAN	Stark gegen Lykaner + %d%%	SA
TOOLTIP_APPLY_ATTBONUS_ZODIAC	Schaden c. Zodiac-Monster +%d %%	SA
TOOLTIP_APPLY_ATT_BOSS	Stark gegen Bosse + %d%%	SA
TOOLTIP_APPLY_ATT_STONE	Stark gegen Metinsteine + %d%%	SA
TOOLTIP_APPLY_BLEEDING_PCT	Blutungsangriff + %d%%	SA
TOOLTIP_APPLY_BLEEDING_REDUCE	Widerstand gegen blutende Angriffe: +%d%%	SA
TOOLTIP_APPLY_BLOCK	Chance, einen Nahkampfangriff zu blocken %d%%	SA
TOOLTIP_APPLY_CRITICAL_PCT	Chance auf einen kritischen Treffer +%d%%	SA
TOOLTIP_APPLY_DAMAGE_SP_RECOVER	%d%% Chance, bei einem Treffer MP zurückzubekommen	SA
TOOLTIP_APPLY_DODGE	Chance, Pfeilen auszuweichen %d%%	SA
TOOLTIP_APPLY_ENCHANT_DARK	Kraft der Dunkelheit +%d%%	SA
TOOLTIP_APPLY_ENCHANT_DARK2	Kraft der Dunkelheit +%d%% - +%d%%
TOOLTIP_APPLY_ENCHANT_EARTH	Kraft der Erde +%d%%	SA
TOOLTIP_APPLY_ENCHANT_EARTH2	Kraft der Erde +%d%% - +%d%%
TOOLTIP_APPLY_ENCHANT_ELECT	Kraft des Blitzes +%d%%	SA
TOOLTIP_APPLY_ENCHANT_ELECT2	Kraft der Blitze +%d%% - +%d%%
TOOLTIP_APPLY_ENCHANT_FIRE	Kraft des Feuers +%d%%	SA
TOOLTIP_APPLY_ENCHANT_FIRE2	Kraft des Feuers +%d%% - +%d%%
TOOLTIP_APPLY_ENCHANT_ICE	Kraft des Eises +%d%%	SA
TOOLTIP_APPLY_ENCHANT_ICE2	Kraft des Eises +%d%% - +%d%%
TOOLTIP_APPLY_ENCHANT_WIND	Kraft des Windes +%d%%	SA
TOOLTIP_APPLY_ENCHANT_WIND2	Kraft des Windes +%d%% - +%d%%
TOOLTIP_APPLY_EXP_DOUBLE_BONUS	%d%% Chance auf EXP-Bonus	SA
TOOLTIP_APPLY_GOLD_DOUBLE_BONUS	%d%% Chance auf doppelten Yang-Bonus	SA
TOOLTIP_APPLY_IMMUNE_FALL	Immun gegen umfallen	SNA
TOOLTIP_APPLY_IMMUNE_SLOW	Abwehr gegen Verlangsamung	SNA
TOOLTIP_APPLY_IMMUNE_STUN	Abwehr gegen Ohnmacht	SNA
TOOLTIP_APPLY_ITEM_ATT_POWER_REFINE	Angriffswert %d - %d (+%d ~ +%d)	
TOOLTIP_APPLY_ITEM_DROP_BONUS	%d%% Chance, die doppelte Menge an Gegenständen fallen zu lassen	SA
TOOLTIP_APPLY_KILL_HP_RECOVER	%d%% Chance, TP wiederherzustellen	SA
TOOLTIP_APPLY_KILL_SP_RECOVER	%d%% Chance, MP wiederherzustellen	SA
TOOLTIP_APPLY_MANA_BURN_PCT	%d%% Chance, MP zu rauben	SA
TOOLTIP_APPLY_MAX_HP_PCT	Max. TP +%d%%	SA
TOOLTIP_APPLY_MAX_SP_PCT	Max. MP +%d%%	SA
TOOLTIP_APPLY_NOAFFECT	Keine Auswirkung
TOOLTIP_APPLY_NO_DEATH_PENALTY	Es gehen keine Erfahrungspunkte verloren, wenn dein Charakter an der Stelle wiederbelebt wird, an der er gestorben ist.	SNA
TOOLTIP_APPLY_PENETRATE_PCT	%d%% Chance für durchbohrende Treffer	SA
TOOLTIP_APPLY_POISON_PCT	Vergiftungs-Chance %d%%	SA
TOOLTIP_APPLY_POISON_REDUCE	Giftwiderstand %d%%	SA
TOOLTIP_APPLY_POTION_BONUS	Zaubertrank %d%% Effektsteigerung	SA
TOOLTIP_APPLY_REFLECT_CURSE	Chance, Fluch zu reflektieren: %d%%	SA
TOOLTIP_APPLY_REFLECT_MELEE	%d%% Chance, Nahkampftreffer zu reflektieren	SA
TOOLTIP_APPLY_RESIST_ASSASSIN	Verteidigungschance gegen Ninja-Angriffe: %d%%	SA
TOOLTIP_APPLY_RESIST_BELL	Glockenverteidigung %d%%	SA
TOOLTIP_APPLY_RESIST_CLAW	Krallenverteidigung +%d%%	SA
TOOLTIP_APPLY_RESIST_DAGGER	Dolchverteidigung %d%%	SA
TOOLTIP_APPLY_RESIST_FAN	Fächerverteidigung %d%%	SA
TOOLTIP_APPLY_RESIST_SHAMAN	Abwehrchance gegen Schamanenangriffe %d%%	SA
TOOLTIP_APPLY_RESIST_SURA	Abwehrchance gegen Suraangriffe %d%%	SA
TOOLTIP_APPLY_RESIST_SWORD	Schwertverteidigung %d%%	SA
TOOLTIP_APPLY_RESIST_TWOHAND	Zweihandverteidigung %d%%	SA
TOOLTIP_APPLY_RESIST_WARRIOR	Abwehrchance gegen Kriegerangriffe %d%%	SA
TOOLTIP_APPLY_RESIST_WIND	Windwiderstand %d%%	SA
TOOLTIP_APPLY_RESIST_WOLFMAN	Verteidigungschance gegen Lykanerangriffe %d%%	SA
TOOLTIP_APPLY_SKILL_BOOK_BONUS	Chance, aus Büchern zu lernen, um den Faktor 2,5 erhöht
TOOLTIP_APPLY_SKILL_BOOK_NO_DELAY	Wenn das Lernen fehlschlägt, hast du sofort einen weiteren kostenlosen Versuch	SNA
TOOLTIP_APPLY_SLOW_PCT	Verlangsamungschance %d%%	SA
TOOLTIP_APPLY_STEAL_HP	%d%% Schaden wird von TP absorbiert	SA
TOOLTIP_APPLY_STEAL_SP	%d%% Schaden wird von MP absorbiert	SA
TOOLTIP_APPLY_STUN_PCT	Ohnmacht-Chance %d%%	SA
TOOLTIP_ARMOR	Rüstung
TOOLTIP_ARROW	Pfeil
TOOLTIP_ASSASSIN	Ninja
TOOLTIP_ATT_GRADE	Angriffswert +%d	SA
TOOLTIP_ATT_SPEED	Angriffsgeschwindigkeit +%d%%	SA
TOOLTIP_AUTO_ATTACK_SPEED_RECOVERY	Grüner Trank	
TOOLTIP_AUTO_BLUE_POTION_RECOVERY	Blauer Trank	
TOOLTIP_AUTO_CRITICAL_RECOVERY	Kritischer Kampf	
TOOLTIP_AUTO_DEX_RECOVERY	Drachengott-Verteidigung	
TOOLTIP_AUTO_GREEN_POTION_RECOVERY	Grüner Tau	
TOOLTIP_AUTO_INT_RECOVERY	Int. des Drachengottes	
TOOLTIP_AUTO_MOV_SPEED_RECOVERY	Lila Trank	
TOOLTIP_AUTO_ORANGE_POTION_RECOVERY	Oranger Tau	
TOOLTIP_AUTO_PENETRATE_RECOVERY	Bohrer-Kampf	
TOOLTIP_AUTO_POTION_HP	Sonnenelixier
TOOLTIP_AUTO_POTION_REST	Resistenz: %.2f%%
TOOLTIP_AUTO_POTION_SP	Mond-Elixier
TOOLTIP_AUTO_POTION_USING	Aktiv
TOOLTIP_AUTO_RED_POTION_RECOVERY	Roter Tau	
TOOLTIP_AUTO_STR_RECOVERY	Angriff des Drachengottes	
TOOLTIP_AUTO_VIT_RECOVERY	Leben des Drachengottes	
TOOLTIP_AUTO_WHITE_POTION_RECOVERY	Weisser Tau	
TOOLTIP_AUTO_YELLOW_POTION_RECOVERY	Gelber Tau	
TOOLTIP_BATTLE_POTION	KampfTrank	SNA
TOOLTIP_BOW_DISTANCE	Reichweite +%d m	SA
TOOLTIP_BUYPRICE	Preis: %s
TOOLTIP_CAST_SPEED	Zaubergeschwindigkeit +%d%%	SA
TOOLTIP_CON	Vitalität +%d	SA
TOOLTIP_COSTUME_ATTR_BONUS	Kostümbonus %d%%	SA
TOOLTIP_DEF_GRADE	Verteidigung +%d	SA
TOOLTIP_DEX	Beweglichkeit +%d	SA
TOOLTIP_DRAGON_SOUL_DECK1	Himmel	SNA
TOOLTIP_DRAGON_SOUL_DECK2	Erde	SNA
TOOLTIP_EAR	Ohrring
TOOLTIP_ENERGY	Energie %d	SA
TOOLTIP_FISHINGROD_EXP	Punkte %d / %d
TOOLTIP_FISHINGROD_LEVEL	Stufe: %d
TOOLTIP_FISHINGROD_UPGRADE1	Gib dem Fischer
TOOLTIP_FISHINGROD_UPGRADE2,	um eine bessere
TOOLTIP_FISHINGROD_UPGRADE3	Angelrute zu bekommen.
TOOLTIP_FISH_LEN	Länge: %.2fcm
TOOLTIP_HELMET	Helm
TOOLTIP_HP_REGEN	TP-Regeneration +%d%%	SA
TOOLTIP_INT	Intelligenz +%d	SA
TOOLTIP_ITEM_ATT_GRADE	Angriffswert %d
TOOLTIP_ITEM_ATT_POWER	Angriffswert %d - %d
TOOLTIP_ITEM_ATT_POWER_ONE_ARG	Angriffswert %d
TOOLTIP_ITEM_ATT_POWER_ONE_ARG_ELEMENT	Angriffswert %d (+ %d)	
TOOLTIP_ITEM_ATT_POWER_REFINE	Angriffswert %d - %d (+%d)
TOOLTIP_ITEM_ATT_SPEED	Angriffsgeschwindigkeit %s
TOOLTIP_ITEM_DEF_GRADE	Verteidigungswert %d
TOOLTIP_ITEM_FAST	Schnell
TOOLTIP_ITEM_LIMIT_CON	Vitalitätsobergrenze: %d
TOOLTIP_ITEM_LIMIT_DEX	Obergrenze für Beweglichkeit: %d
TOOLTIP_ITEM_LIMIT_INT	Intelligenz Obergrenze: %d
TOOLTIP_ITEM_LIMIT_LEVEL	Ab Stufe: %d
TOOLTIP_ITEM_LIMIT_STR	Stärke Obergrenze: %d
TOOLTIP_ITEM_MAGIC_ATT_POWER	Magischer Angriffswert %d - %d
TOOLTIP_ITEM_MAGIC_ATT_POWER_ONE_ARG	Magischer Angriffswert %d
TOOLTIP_ITEM_MAGIC_DEF_POWER	Magische Verteidigung %d
TOOLTIP_ITEM_NORMAL	Normal
TOOLTIP_ITEM_SLOW	Langsam
TOOLTIP_ITEM_VERY_FAST	Sehr schnell
TOOLTIP_ITEM_VERY_SLOW	Sehr langsam
TOOLTIP_ITEM_WEARABLE_JOB	[Abnutzbar]
TOOLTIP_LOTTERY_STEP_NUMBER	%d	
TOOLTIP_LOTTO_NUMBER	Glückszahl: %d
TOOLTIP_MAGIC_ATTBONUS_PER	Magischer Angriff +%d%%	SA
TOOLTIP_MAGIC_ATT_GRADE	Magischer Angriffswert +%d	SA
TOOLTIP_MAGIC_DEF_GRADE	Magische Verteidigung +%d	SA
TOOLTIP_MALL_ATTBONUS	Angriffswert +%d%%	SA
TOOLTIP_MALL_ATTBONUS_STATIC	Angriffswert	SNA
TOOLTIP_MALL_AUTOLOOT	Eine Hand, die fallen gelassenes Yang automatisch aufhebt	SNA
TOOLTIP_MALL_DEFBONUS	Verteidigung +%d%%	SA
TOOLTIP_MALL_DEFBONUS_STATIC	Verteidigung	SNA
TOOLTIP_MALL_EXPBONUS	EXP +%d%%	SA
TOOLTIP_MALL_EXPBONUS_P_STATIC	iCafe EXP Bonus +%d%%	SA
TOOLTIP_MALL_EXPBONUS_STATIC	Erhöht den EXP-Gewinn um 50%	SNA
TOOLTIP_MALL_FISH_MIND	Deine Chance, einen seltenen Fisch zu fangen, verdoppelt sich.	SNA
TOOLTIP_MALL_GOLDBONUS	Die Chance, Yang fallen zu lassen, erhöht sich um %d%%	SA
TOOLTIP_MALL_GOLDBONUS_STATIC	Doppelte Yang-Beutechance	SNA
TOOLTIP_MALL_ITEMBONUS	Item-Drop-Chance um %d%% erhöht	SA
TOOLTIP_MALL_ITEMBONUS_P_STATIC	iCafe Chance, Gegenstände zu plündern, um %.1f%% erhöht	SA
TOOLTIP_MALL_ITEMBONUS_STATIC	Beutechance für Gegenstände um 200% erhöht.	SNA
TOOLTIP_MALL_MARRIAGE_FAST	Liebespunkte steigen schneller.	SNA
